Truth tables

and
or
not
!= (not equal)
== (equal)
>= (greater-than-equal)
<= (less-than-equal)
True
False

Not		True?
not False	True
not True	False

Or		True?
True or False	True
True or True	True
False or True	True
False or False	False

Shortcut: any Or that has a True is True

And		True?
True and False	False
True and True	True
False and True	False
False and False	False

Shortcut: and And with a False is False

Not Or			True?
not(True or False)	False
not (True or True)	False
not (False or True)	False
not (False or False)	True


Not And			True?
not (True and False)	True
not (True and True)	False
not (False and True)	True
not (False and False)	True

!=	True?
1 != 0	True
1 != 1	False
0 != 1	True
0 != 0	False

==	True?
1 == 0	False
1 == 1	True
0 == 1	False
0 == 0 	True
